Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Successfully loaded weights from ./TensorforcePPOAgent/
[train] Training 'TensorforcePPOAgent'
[train] Episode 131 | Steps Taken: 103 | Total Steps: Taken  12919/300000 | Total reward: -456.11600130681245
[train] Episode 132 | Steps Taken:  99 | Total Steps: Taken  13018/300000 | Total reward: -381.3795306681295
[train] Episode 133 | Steps Taken:  97 | Total Steps: Taken  13115/300000 | Total reward: -378.1240075472945
[train] Episode 134 | Steps Taken:  97 | Total Steps: Taken  13212/300000 | Total reward: -405.97396846176485
[train] Episode 135 | Steps Taken:  96 | Total Steps: Taken  13308/300000 | Total reward: -393.929358841859
[train] Episode 136 | Steps Taken:  98 | Total Steps: Taken  13406/300000 | Total reward: -361.6686236785096
[train] Episode 137 | Steps Taken:  99 | Total Steps: Taken  13505/300000 | Total reward: -405.7494229773663
[train] Episode 138 | Steps Taken:  99 | Total Steps: Taken  13604/300000 | Total reward: -442.2457574338321
[train] Episode 139 | Steps Taken:  96 | Total Steps: Taken  13700/300000 | Total reward: -382.1936506785106
[train] Episode 140 | Steps Taken:  98 | Total Steps: Taken  13798/300000 | Total reward: -369.10184213233885
[train] Episode 141 | Steps Taken: 101 | Total Steps: Taken  13899/300000 | Total reward: -421.2291702143414
[train] Episode 142 | Steps Taken:  98 | Total Steps: Taken  13997/300000 | Total reward: -421.7715595438876
