Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Pretrained model ./TensorforcePPOAgent/ not found. Starting from scratch.
[train] Training 'TensorforcePPOAgent'
[train] Episode 197 | Steps Taken:  98 | Total Steps: Taken  19481/500000 | Total reward: -360.21821966472646
[train] Episode 198 | Steps Taken:  99 | Total Steps: Taken  19580/500000 | Total reward: -355.4116867282403
[train] Episode 199 | Steps Taken: 100 | Total Steps: Taken  19680/500000 | Total reward: -417.01537135105747
[train] Episode 200 | Steps Taken: 100 | Total Steps: Taken  19780/500000 | Total reward: -369.2102653609223
[train] Episode 201 | Steps Taken:  95 | Total Steps: Taken  19875/500000 | Total reward: -353.4775532681701
[train] Episode 202 | Steps Taken:  98 | Total Steps: Taken  19973/500000 | Total reward: -367.52892215476345
[train] Episode 203 | Steps Taken:  98 | Total Steps: Taken  20071/500000 | Total reward: -410.51918315001683
[train] Episode 204 | Steps Taken:  97 | Total Steps: Taken  20168/500000 | Total reward: -400.74066977982426
[train] Episode 205 | Steps Taken: 100 | Total Steps: Taken  20268/500000 | Total reward: -406.33972745734434
[train] Episode 206 | Steps Taken: 104 | Total Steps: Taken  20372/500000 | Total reward: -443.9245575067956
[train] Episode 207 | Steps Taken: 101 | Total Steps: Taken  20473/500000 | Total reward: -395.15640947344326
[train] Episode 208 | Steps Taken:  98 | Total Steps: Taken  20571/500000 | Total reward: -376.46117087151276
[train] Episode 209 | Steps Taken: 105 | Total Steps: Taken  20676/500000 | Total reward: -450.0614593094158
[train] Episode 210 | Steps Taken:  98 | Total Steps: Taken  20774/500000 | Total reward: -394.3010341925219
[train] Episode 211 | Steps Taken:  98 | Total Steps: Taken  20872/500000 | Total reward: -388.3039029594946
[train] Episode 212 | Steps Taken:  97 | Total Steps: Taken  20969/500000 | Total reward: -389.49639735202834
[train] Episode 213 | Steps Taken:  97 | Total Steps: Taken  21066/500000 | Total reward: -367.27224378887564
[train] Episode 214 | Steps Taken:  98 | Total Steps: Taken  21164/500000 | Total reward: -431.66627752584463
[train] Episode 215 | Steps Taken:  97 | Total Steps: Taken  21261/500000 | Total reward: -346.0383795091108
[train] Episode 216 | Steps Taken:  96 | Total Steps: Taken  21357/500000 | Total reward: -355.1433193984415
[train] Episode 217 | Steps Taken:  97 | Total Steps: Taken  21454/500000 | Total reward: -361.29860212174606
[train] Episode 218 | Steps Taken:  99 | Total Steps: Taken  21553/500000 | Total reward: -375.4831150495017
[train] Episode 219 | Steps Taken:  99 | Total Steps: Taken  21652/500000 | Total reward: -389.34146161985717
[train] Episode 220 | Steps Taken:  96 | Total Steps: Taken  21748/500000 | Total reward: -366.8282780469713
[train] Episode 221 | Steps Taken: 100 | Total Steps: Taken  21848/500000 | Total reward: -418.09560110707696
[train] Episode 222 | Steps Taken:  97 | Total Steps: Taken  21945/500000 | Total reward: -406.22200359104005
[train] Episode 223 | Steps Taken:  98 | Total Steps: Taken  22043/500000 | Total reward: -354.42099679122265
[train] Episode 224 | Steps Taken:  96 | Total Steps: Taken  22139/500000 | Total reward: -370.5749622173224
[train] Episode 225 | Steps Taken: 101 | Total Steps: Taken  22240/500000 | Total reward: -396.05986623189375
[train] Episode 226 | Steps Taken:  98 | Total Steps: Taken  22338/500000 | Total reward: -374.2113565193246
[train] Episode 227 | Steps Taken:  98 | Total Steps: Taken  22436/500000 | Total reward: -395.75653766374006
[train] Episode 228 | Steps Taken:  97 | Total Steps: Taken  22533/500000 | Total reward: -363.28242180276527
[train] Episode 229 | Steps Taken:  95 | Total Steps: Taken  22628/500000 | Total reward: -366.9486414698956
[train] Episode 230 | Steps Taken:  96 | Total Steps: Taken  22724/500000 | Total reward: -348.8069135082174
[train] Episode 231 | Steps Taken: 100 | Total Steps: Taken  22824/500000 | Total reward: -364.0811728034803
[train] Episode 232 | Steps Taken:  97 | Total Steps: Taken  22921/500000 | Total reward: -393.0465584762403
[train] Episode 233 | Steps Taken: 100 | Total Steps: Taken  23021/500000 | Total reward: -366.9692712645351
[train] Episode 234 | Steps Taken:  97 | Total Steps: Taken  23118/500000 | Total reward: -362.5673340961272
[train] Episode 235 | Steps Taken: 100 | Total Steps: Taken  23218/500000 | Total reward: -393.48524374300587
[train] Episode 236 | Steps Taken:  98 | Total Steps: Taken  23316/500000 | Total reward: -410.2875760425804
[train] Episode 237 | Steps Taken: 103 | Total Steps: Taken  23419/500000 | Total reward: -453.5402475919463
[train] Episode 238 | Steps Taken:  97 | Total Steps: Taken  23516/500000 | Total reward: -353.9415570076189
[train] Episode 239 | Steps Taken:  99 | Total Steps: Taken  23615/500000 | Total reward: -377.25428473575533
[train] Episode 240 | Steps Taken: 102 | Total Steps: Taken  23717/500000 | Total reward: -442.65699349504314
[train] Episode 241 | Steps Taken:  97 | Total Steps: Taken  23814/500000 | Total reward: -383.04391407351864
[train] Episode 242 | Steps Taken:  98 | Total Steps: Taken  23912/500000 | Total reward: -404.79890699401756
[train] Episode 243 | Steps Taken:  99 | Total Steps: Taken  24011/500000 | Total reward: -414.8995045891903
[train] Episode 244 | Steps Taken:  97 | Total Steps: Taken  24108/500000 | Total reward: -372.98372629565137
[train] Episode 245 | Steps Taken:  97 | Total Steps: Taken  24205/500000 | Total reward: -372.1405244585514
[train] Episode 246 | Steps Taken:  97 | Total Steps: Taken  24302/500000 | Total reward: -368.5424700239388
