Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent_exp/
[train] Successfully loaded weights from ./TensorforcePPOAgent_exp/
[train] Training 'TensorforcePPOAgent_exp'
[train] Episode  84 | Steps Taken:  99 | Total Steps: Taken   8258/1000000 | Total reward: -533.2944994873826
[train] Episode  85 | Steps Taken:  98 | Total Steps: Taken   8356/1000000 | Total reward: -488.53217701328987
[train] Episode  86 | Steps Taken:  98 | Total Steps: Taken   8454/1000000 | Total reward: -507.7372062846052
[train] Episode  87 | Steps Taken:  98 | Total Steps: Taken   8552/1000000 | Total reward: -514.081643847671
[train] Episode  88 | Steps Taken:  98 | Total Steps: Taken   8650/1000000 | Total reward: -477.45312954884673
[train] Episode  89 | Steps Taken:  97 | Total Steps: Taken   8747/1000000 | Total reward: -478.306334729259
[train] Episode  90 | Steps Taken:  96 | Total Steps: Taken   8843/1000000 | Total reward: -463.44487809099195
[train] Episode  91 | Steps Taken: 100 | Total Steps: Taken   8943/1000000 | Total reward: -546.7346385610258
[train] Episode  92 | Steps Taken:  98 | Total Steps: Taken   9041/1000000 | Total reward: -525.5257238659545
[train] Episode  93 | Steps Taken:  99 | Total Steps: Taken   9140/1000000 | Total reward: -499.8411739548612
[train] Episode  94 | Steps Taken: 100 | Total Steps: Taken   9240/1000000 | Total reward: -562.7534701378505
[train] Episode  95 | Steps Taken:  99 | Total Steps: Taken   9339/1000000 | Total reward: -507.04561199579325
[train] Episode  96 | Steps Taken:  98 | Total Steps: Taken   9437/1000000 | Total reward: -508.4590479567152
[train] Episode  97 | Steps Taken: 101 | Total Steps: Taken   9538/1000000 | Total reward: -554.0285955178498
[train] Episode  98 | Steps Taken: 101 | Total Steps: Taken   9639/1000000 | Total reward: -560.3037636818227
[train] Episode  99 | Steps Taken:  97 | Total Steps: Taken   9736/1000000 | Total reward: -470.99380093588854
[train] Episode 100 | Steps Taken:  99 | Total Steps: Taken   9835/1000000 | Total reward: -546.9743524711898
[train] Episode 101 | Steps Taken:  98 | Total Steps: Taken   9933/1000000 | Total reward: -522.2632911483452
[train] Episode 102 | Steps Taken:  98 | Total Steps: Taken  10031/1000000 | Total reward: -505.2962742528096
[train] Episode 103 | Steps Taken:  98 | Total Steps: Taken  10129/1000000 | Total reward: -492.6337461158875
[train] Episode 104 | Steps Taken: 101 | Total Steps: Taken  10230/1000000 | Total reward: -571.6492741674537
[train] Episode 105 | Steps Taken:  97 | Total Steps: Taken  10327/1000000 | Total reward: -489.56580600534454
[train] Episode 106 | Steps Taken:  99 | Total Steps: Taken  10426/1000000 | Total reward: -501.6604364569176
[train] Episode 107 | Steps Taken:  98 | Total Steps: Taken  10524/1000000 | Total reward: -491.3568352865189
[train] Episode 108 | Steps Taken:  98 | Total Steps: Taken  10622/1000000 | Total reward: -499.4495279578078
[train] Episode 109 | Steps Taken: 100 | Total Steps: Taken  10722/1000000 | Total reward: -536.0717705665074
[train] Episode 110 | Steps Taken:  98 | Total Steps: Taken  10820/1000000 | Total reward: -495.2438271087381
[train] Episode 111 | Steps Taken: 101 | Total Steps: Taken  10921/1000000 | Total reward: -578.8425034546797
[train] Episode 112 | Steps Taken: 100 | Total Steps: Taken  11021/1000000 | Total reward: -556.58817697723
[train] Episode 113 | Steps Taken:  99 | Total Steps: Taken  11120/1000000 | Total reward: -526.6586253455589
[train] Episode 114 | Steps Taken:  98 | Total Steps: Taken  11218/1000000 | Total reward: -506.7812745660874
[train] Episode 115 | Steps Taken:  98 | Total Steps: Taken  11316/1000000 | Total reward: -488.8616147301565
[train] Episode 116 | Steps Taken:  98 | Total Steps: Taken  11414/1000000 | Total reward: -528.0641220350724
[train] Episode 117 | Steps Taken:  99 | Total Steps: Taken  11513/1000000 | Total reward: -519.5230507527326
[train] Episode 118 | Steps Taken: 100 | Total Steps: Taken  11613/1000000 | Total reward: -543.5903772682174
[train] Episode 119 | Steps Taken:  96 | Total Steps: Taken  11709/1000000 | Total reward: -463.2789952984339
[train] Episode 120 | Steps Taken:  97 | Total Steps: Taken  11806/1000000 | Total reward: -480.21139525070083
[train] Episode 121 | Steps Taken:  97 | Total Steps: Taken  11903/1000000 | Total reward: -467.30813098919435
[train] Episode 122 | Steps Taken:  98 | Total Steps: Taken  12001/1000000 | Total reward: -496.8153386375447
[train] Episode 123 | Steps Taken: 101 | Total Steps: Taken  12102/1000000 | Total reward: -571.7463770767649
[train] Episode 124 | Steps Taken:  97 | Total Steps: Taken  12199/1000000 | Total reward: -468.4499016706304
[train] Episode 125 | Steps Taken:  98 | Total Steps: Taken  12297/1000000 | Total reward: -517.3083715297086
[train] Episode 126 | Steps Taken: 100 | Total Steps: Taken  12397/1000000 | Total reward: -511.0471159020989
[train] Episode 127 | Steps Taken:  98 | Total Steps: Taken  12495/1000000 | Total reward: -502.1156679045905
[train] Episode 128 | Steps Taken:  99 | Total Steps: Taken  12594/1000000 | Total reward: -504.8945558392386
[train] Episode 129 | Steps Taken:  98 | Total Steps: Taken  12692/1000000 | Total reward: -478.1202385371823
[train] Episode 130 | Steps Taken:  97 | Total Steps: Taken  12789/1000000 | Total reward: -473.40114297951953
[train] Episode 131 | Steps Taken:  96 | Total Steps: Taken  12885/1000000 | Total reward: -466.16410033346773
[train] Episode 132 | Steps Taken:  98 | Total Steps: Taken  12983/1000000 | Total reward: -487.0030887935383
[train] Episode 133 | Steps Taken:  97 | Total Steps: Taken  13080/1000000 | Total reward: -471.6819816442581
[train] Episode 134 | Steps Taken:  98 | Total Steps: Taken  13178/1000000 | Total reward: -497.023743188695
[train] Episode 135 | Steps Taken:  97 | Total Steps: Taken  13275/1000000 | Total reward: -467.75151748834264
[train] Episode 136 | Steps Taken:  98 | Total Steps: Taken  13373/1000000 | Total reward: -540.085341994854
[train] Episode 137 | Steps Taken:  98 | Total Steps: Taken  13471/1000000 | Total reward: -522.5073242555754
[train] Episode 138 | Steps Taken: 100 | Total Steps: Taken  13571/1000000 | Total reward: -552.8425015551055
[train] Episode 139 | Steps Taken:  97 | Total Steps: Taken  13668/1000000 | Total reward: -473.9133431981605
[train] Episode 140 | Steps Taken:  99 | Total Steps: Taken  13767/1000000 | Total reward: -513.2465589183231
[train] Episode 141 | Steps Taken:  97 | Total Steps: Taken  13864/1000000 | Total reward: -474.50119191763247
[train] Episode 142 | Steps Taken:  99 | Total Steps: Taken  13963/1000000 | Total reward: -515.3236798600175
