Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent_exp/
[train] Successfully loaded weights from ./TensorforcePPOAgent_exp/
[train] Training 'TensorforcePPOAgent_exp'
[train] Episode   1 | Steps Taken: 111 | Total Steps: Taken    111/1000000 | Total reward: -555.6866407261748
[train] Episode  20 | Steps Taken:  97 | Total Steps: Taken   2076/1000000 | Total reward: -536.5808224808528
[train] Episode  21 | Steps Taken:  98 | Total Steps: Taken   2174/1000000 | Total reward: -554.7843167210912
[train] Episode  22 | Steps Taken:  98 | Total Steps: Taken   2272/1000000 | Total reward: -553.122673515826
[train] Episode  23 | Steps Taken:  98 | Total Steps: Taken   2370/1000000 | Total reward: -556.5105056332764
[train] Episode  24 | Steps Taken:  99 | Total Steps: Taken   2469/1000000 | Total reward: -573.4903460978499
[train] Episode  25 | Steps Taken:  99 | Total Steps: Taken   2568/1000000 | Total reward: -562.4199450294088
[train] Episode  26 | Steps Taken:  98 | Total Steps: Taken   2666/1000000 | Total reward: -552.7993997176227
[train] Episode  27 | Steps Taken:  99 | Total Steps: Taken   2765/1000000 | Total reward: -564.072490966188
[train] Episode  28 | Steps Taken:  99 | Total Steps: Taken   2864/1000000 | Total reward: -559.86554524811
[train] Episode  29 | Steps Taken:  98 | Total Steps: Taken   2962/1000000 | Total reward: -545.9320910637613
[train] Episode  30 | Steps Taken:  98 | Total Steps: Taken   3060/1000000 | Total reward: -546.3895527074984
[train] Episode  31 | Steps Taken:  98 | Total Steps: Taken   3158/1000000 | Total reward: -558.3820316468898
[train] Episode  32 | Steps Taken:  98 | Total Steps: Taken   3256/1000000 | Total reward: -558.1301789323231
[train] Episode  33 | Steps Taken:  97 | Total Steps: Taken   3353/1000000 | Total reward: -547.7294666702194
[train] Episode  34 | Steps Taken:  97 | Total Steps: Taken   3450/1000000 | Total reward: -551.0677697383045
[train] Episode  35 | Steps Taken:  98 | Total Steps: Taken   3548/1000000 | Total reward: -562.0689521755431
[train] Episode  36 | Steps Taken:  98 | Total Steps: Taken   3646/1000000 | Total reward: -564.6133944897001
[train] Episode  37 | Steps Taken:  97 | Total Steps: Taken   3743/1000000 | Total reward: -531.4921440357017
[train] Episode  38 | Steps Taken:  98 | Total Steps: Taken   3841/1000000 | Total reward: -563.9454345489878
[train] Episode  39 | Steps Taken:  97 | Total Steps: Taken   3938/1000000 | Total reward: -547.8819580714697
[train] Episode  40 | Steps Taken:  98 | Total Steps: Taken   4036/1000000 | Total reward: -562.0278759541646
[train] Episode  41 | Steps Taken:  97 | Total Steps: Taken   4133/1000000 | Total reward: -553.1777756281907
[train] Episode  42 | Steps Taken:  97 | Total Steps: Taken   4230/1000000 | Total reward: -549.6118437333912
[train] Episode  43 | Steps Taken:  97 | Total Steps: Taken   4327/1000000 | Total reward: -547.973860028156
[train] Episode  44 | Steps Taken:  97 | Total Steps: Taken   4424/1000000 | Total reward: -545.0748155156734
[train] Episode  45 | Steps Taken:  97 | Total Steps: Taken   4521/1000000 | Total reward: -548.7019700805064
