Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensPPO_extLay_10xlearn/
[train] Pretrained model ./TensPPO_extLay_10xlearn/ not found. Starting from scratch.
[train] Training 'TensPPO_extLay_10xlearn'
[train] Episode 146 | Steps Taken:  99 | Total Steps: Taken  14319/500000 | Total reward: -568.9341980393331
[train] Episode 147 | Steps Taken:  99 | Total Steps: Taken  14418/500000 | Total reward: -564.9240589021736
[train] Episode 148 | Steps Taken:  95 | Total Steps: Taken  14513/500000 | Total reward: -506.9299194120041
[train] Episode 149 | Steps Taken:  98 | Total Steps: Taken  14611/500000 | Total reward: -561.2707272754371
[train] Episode 150 | Steps Taken:  99 | Total Steps: Taken  14710/500000 | Total reward: -572.6448324080774
[train] Episode 151 | Steps Taken:  98 | Total Steps: Taken  14808/500000 | Total reward: -548.328587598601
[train] Episode 152 | Steps Taken:  99 | Total Steps: Taken  14907/500000 | Total reward: -582.0466157725041
[train] Episode 153 | Steps Taken:  98 | Total Steps: Taken  15005/500000 | Total reward: -563.0348041092714
[train] Episode 154 | Steps Taken:  99 | Total Steps: Taken  15104/500000 | Total reward: -568.3093499933395
[train] Episode 155 | Steps Taken:  99 | Total Steps: Taken  15203/500000 | Total reward: -581.309685236412
[train] Episode 156 | Steps Taken:  99 | Total Steps: Taken  15302/500000 | Total reward: -579.0973693435109
[train] Episode 157 | Steps Taken:  98 | Total Steps: Taken  15400/500000 | Total reward: -555.338300606147
[train] Episode 158 | Steps Taken:  99 | Total Steps: Taken  15499/500000 | Total reward: -571.5241922726008
[train] Episode 159 | Steps Taken:  98 | Total Steps: Taken  15597/500000 | Total reward: -566.1394623150059
[train] Episode 160 | Steps Taken:  97 | Total Steps: Taken  15694/500000 | Total reward: -549.1585419567276
[train] Episode 161 | Steps Taken:  98 | Total Steps: Taken  15792/500000 | Total reward: -541.0297679687011
[train] Episode 162 | Steps Taken:  98 | Total Steps: Taken  15890/500000 | Total reward: -543.0165100892698
[train] Episode 163 | Steps Taken:  97 | Total Steps: Taken  15987/500000 | Total reward: -535.8416865407453
[train] Episode 164 | Steps Taken:  97 | Total Steps: Taken  16084/500000 | Total reward: -529.1434735245064
[train] Episode 165 | Steps Taken:  99 | Total Steps: Taken  16183/500000 | Total reward: -579.7640155213852
[train] Episode 166 | Steps Taken:  99 | Total Steps: Taken  16282/500000 | Total reward: -570.835308741027
[train] Episode 167 | Steps Taken:  99 | Total Steps: Taken  16381/500000 | Total reward: -569.3462113660079
[train] Episode 168 | Steps Taken:  98 | Total Steps: Taken  16479/500000 | Total reward: -562.6343362492432
[train] Episode 169 | Steps Taken:  98 | Total Steps: Taken  16577/500000 | Total reward: -561.4244609974355
[train] Episode 170 | Steps Taken:  98 | Total Steps: Taken  16675/500000 | Total reward: -549.6187542477704
[train] Episode 171 | Steps Taken:  97 | Total Steps: Taken  16772/500000 | Total reward: -531.1630481365526
[train] Episode 172 | Steps Taken:  98 | Total Steps: Taken  16870/500000 | Total reward: -558.0102696129371
[train] Episode 173 | Steps Taken:  99 | Total Steps: Taken  16969/500000 | Total reward: -574.7453291629378
[train] Episode 174 | Steps Taken:  98 | Total Steps: Taken  17067/500000 | Total reward: -533.5759998987357
[train] Episode 175 | Steps Taken:  99 | Total Steps: Taken  17166/500000 | Total reward: -569.4132725478498
[train] Episode 176 | Steps Taken:  97 | Total Steps: Taken  17263/500000 | Total reward: -533.250220125238
[train] Episode 177 | Steps Taken:  98 | Total Steps: Taken  17361/500000 | Total reward: -556.1620305925221
[train] Episode 178 | Steps Taken:  98 | Total Steps: Taken  17459/500000 | Total reward: -551.0826584191802
[train] Episode 179 | Steps Taken:  99 | Total Steps: Taken  17558/500000 | Total reward: -577.4317085095439
[train] Episode 180 | Steps Taken:  98 | Total Steps: Taken  17656/500000 | Total reward: -548.6048643524101
[train] Episode 181 | Steps Taken:  98 | Total Steps: Taken  17754/500000 | Total reward: -562.4961391097906
[train] Episode 182 | Steps Taken:  98 | Total Steps: Taken  17852/500000 | Total reward: -551.73577628281
[train] Episode 183 | Steps Taken:  98 | Total Steps: Taken  17950/500000 | Total reward: -559.2033862382394
[train] Episode 184 | Steps Taken:  98 | Total Steps: Taken  18048/500000 | Total reward: -557.4910070987386
[train] Episode 185 | Steps Taken:  98 | Total Steps: Taken  18146/500000 | Total reward: -562.215905699528
[train] Episode 186 | Steps Taken:  98 | Total Steps: Taken  18244/500000 | Total reward: -561.6774010906423
[train] Episode 187 | Steps Taken:  98 | Total Steps: Taken  18342/500000 | Total reward: -555.7713282170157
[train] Episode 188 | Steps Taken:  98 | Total Steps: Taken  18440/500000 | Total reward: -564.9983167895072
[train] Episode 189 | Steps Taken:  99 | Total Steps: Taken  18539/500000 | Total reward: -568.7200693954331
[train] Episode 190 | Steps Taken:  98 | Total Steps: Taken  18637/500000 | Total reward: -560.3778070824816
[train] Episode 191 | Steps Taken:  98 | Total Steps: Taken  18735/500000 | Total reward: -564.0523947772842
[train] Episode 192 | Steps Taken:  99 | Total Steps: Taken  18834/500000 | Total reward: -557.3628115631979
[train] Episode 193 | Steps Taken:  99 | Total Steps: Taken  18933/500000 | Total reward: -564.1743053156148
[train] Episode 194 | Steps Taken:  97 | Total Steps: Taken  19030/500000 | Total reward: -532.5983475110306
[train] Episode 195 | Steps Taken:  99 | Total Steps: Taken  19129/500000 | Total reward: -567.1320430375763
[train] Episode 196 | Steps Taken:  97 | Total Steps: Taken  19226/500000 | Total reward: -541.8360912580823
[train] Episode 197 | Steps Taken:  98 | Total Steps: Taken  19324/500000 | Total reward: -564.5761066794583
[train] Episode 198 | Steps Taken:  98 | Total Steps: Taken  19422/500000 | Total reward: -555.4489704781851
[train] Episode 199 | Steps Taken:  98 | Total Steps: Taken  19520/500000 | Total reward: -564.2544242052095
[train] Episode 200 | Steps Taken:  97 | Total Steps: Taken  19617/500000 | Total reward: -548.6858566616287
[train] Episode 201 | Steps Taken:  97 | Total Steps: Taken  19714/500000 | Total reward: -512.3126332328475
[train] Episode 202 | Steps Taken:  98 | Total Steps: Taken  19812/500000 | Total reward: -557.8872068780521
[train] Episode 203 | Steps Taken:  98 | Total Steps: Taken  19910/500000 | Total reward: -563.4597942699432
[train] Episode 204 | Steps Taken:  97 | Total Steps: Taken  20007/500000 | Total reward: -544.9650143031159
[train] Episode 205 | Steps Taken:  98 | Total Steps: Taken  20105/500000 | Total reward: -544.8529693410728
[train] Episode 206 | Steps Taken:  98 | Total Steps: Taken  20203/500000 | Total reward: -554.271703349232
[train] Episode 207 | Steps Taken:  98 | Total Steps: Taken  20301/500000 | Total reward: -551.0021150261956
[train] Episode 208 | Steps Taken:  97 | Total Steps: Taken  20398/500000 | Total reward: -539.2269260762909
[train] Episode 209 | Steps Taken:  98 | Total Steps: Taken  20496/500000 | Total reward: -559.9609357940773
[train] Episode 210 | Steps Taken:  99 | Total Steps: Taken  20595/500000 | Total reward: -577.8861735707083
[train] Episode 211 | Steps Taken:  99 | Total Steps: Taken  20694/500000 | Total reward: -578.0186465474062
[train] Episode 212 | Steps Taken:  98 | Total Steps: Taken  20792/500000 | Total reward: -551.0767709259297
[train] Episode 213 | Steps Taken:  98 | Total Steps: Taken  20890/500000 | Total reward: -539.6232534875403
[train] Episode 214 | Steps Taken:  98 | Total Steps: Taken  20988/500000 | Total reward: -546.8477731745543
[train] Episode 215 | Steps Taken:  98 | Total Steps: Taken  21086/500000 | Total reward: -551.2823966397692
[train] Episode 216 | Steps Taken:  98 | Total Steps: Taken  21184/500000 | Total reward: -563.0865870120745
